Specimen Collection Date,Age Group,New Confirmed Cases,Cumulative Confirmed Cases,Last Updated at
2020/03/12,51-60,2,6,08/09/2020 03:15:02 PM
2020/03/13,51-60,2,8,08/09/2020 03:15:02 PM
2020/03/14,51-60,1,9,08/09/2020 03:15:02 PM
2020/03/15,51-60,0,9,08/09/2020 03:15:02 PM
2020/03/16,51-60,8,17,08/09/2020 03:15:02 PM
2020/03/17,51-60,3,20,08/09/2020 03:15:02 PM
2020/03/18,51-60,4,24,08/09/2020 03:15:02 PM
2020/03/19,51-60,3,27,08/09/2020 03:15:02 PM
2020/03/20,51-60,4,31,08/09/2020 03:15:02 PM
2020/03/21,51-60,7,38,08/09/2020 03:15:02 PM
2020/03/22,51-60,5,43,08/09/2020 03:15:02 PM
2020/03/23,51-60,7,50,08/09/2020 03:15:02 PM
2020/03/24,51-60,6,56,08/09/2020 03:15:02 PM
2020/03/25,51-60,5,61,08/09/2020 03:15:02 PM
2020/03/26,51-60,9,70,08/09/2020 03:15:02 PM
2020/03/27,51-60,4,74,08/09/2020 03:15:02 PM
2020/03/28,51-60,6,80,08/09/2020 03:15:02 PM
2020/03/29,51-60,0,80,08/09/2020 03:15:02 PM
2020/03/30,51-60,6,86,08/09/2020 03:15:02 PM
2020/03/31,51-60,9,95,08/09/2020 03:15:02 PM
2020/04/01,51-60,5,100,08/09/2020 03:15:02 PM
2020/04/02,51-60,3,103,08/09/2020 03:15:02 PM
2020/04/03,51-60,5,108,08/09/2020 03:15:02 PM
2020/04/04,51-60,2,110,08/09/2020 03:15:02 PM
2020/04/05,51-60,4,114,08/09/2020 03:15:02 PM
2020/04/06,51-60,6,120,08/09/2020 03:15:02 PM
2020/04/07,51-60,5,125,08/09/2020 03:15:02 PM
2020/04/08,51-60,14,139,08/09/2020 03:15:02 PM
2020/04/09,51-60,16,155,08/09/2020 03:15:02 PM
2020/04/10,51-60,7,162,08/09/2020 03:15:02 PM
2020/04/11,51-60,3,165,08/09/2020 03:15:02 PM
2020/04/12,51-60,5,170,08/09/2020 03:15:02 PM
2020/04/13,51-60,3,173,08/09/2020 03:15:02 PM
2020/04/14,51-60,9,182,08/09/2020 03:15:02 PM
2020/04/15,51-60,3,185,08/09/2020 03:15:02 PM
2020/04/16,51-60,5,190,08/09/2020 03:15:02 PM
2020/04/17,51-60,6,196,08/09/2020 03:15:02 PM
2020/04/18,51-60,1,197,08/09/2020 03:15:02 PM
2020/04/19,51-60,9,206,08/09/2020 03:15:02 PM
2020/04/20,51-60,9,215,08/09/2020 03:15:02 PM
2020/04/21,51-60,5,220,08/09/2020 03:15:02 PM
2020/04/22,51-60,4,224,08/09/2020 03:15:02 PM
2020/04/23,51-60,5,229,08/09/2020 03:15:02 PM
2020/04/24,51-60,7,236,08/09/2020 03:15:02 PM
2020/04/25,51-60,5,241,08/09/2020 03:15:02 PM
2020/04/26,51-60,4,245,08/09/2020 03:15:02 PM
2020/04/27,51-60,3,248,08/09/2020 03:15:02 PM
2020/04/28,51-60,9,257,08/09/2020 03:15:02 PM
2020/04/29,51-60,6,263,08/09/2020 03:15:02 PM
2020/04/30,51-60,4,267,08/09/2020 03:15:02 PM
2020/05/01,51-60,5,272,08/09/2020 03:15:02 PM
2020/05/02,51-60,2,274,08/09/2020 03:15:02 PM
2020/05/03,51-60,3,277,08/09/2020 03:15:02 PM
2020/05/04,51-60,1,278,08/09/2020 03:15:02 PM
2020/05/05,51-60,6,284,08/09/2020 03:15:02 PM
2020/05/06,51-60,8,292,08/09/2020 03:15:02 PM
2020/05/07,51-60,5,297,08/09/2020 03:15:02 PM
2020/05/08,51-60,1,298,08/09/2020 03:15:02 PM
2020/05/09,51-60,1,299,08/09/2020 03:15:02 PM
2020/05/10,51-60,0,299,08/09/2020 03:15:02 PM
2020/05/11,51-60,7,306,08/09/2020 03:15:02 PM
2020/05/12,51-60,9,315,08/09/2020 03:15:02 PM
